,education,Medianamente importante,Muy importante,No sé,Poco importante
0,Doctorado,12.0,20.0,2.0,1.0
1,Especialización,0.0,5.0,3.0,0.0
2,Especialización;Maestría,0.0,1.0,0.0,0.0
3,Estudiante de Doctorado,0.0,1.0,0.0,0.0
4,Estudiante de licenciatura,4.0,4.0,0.0,1.0
5,Licenciado,6.0,10.0,3.0,0.0
6,Licenciado;Doctorado en curso,0.0,1.0,0.0,0.0
7,Licenciado;En proceso de tesis de maestría,1.0,0.0,0.0,0.0
8,Licenciado;Especialización;Maestría,0.0,3.0,0.0,0.0
9,Licenciado;estudiante de doctorado,0.0,1.0,0.0,0.0
10,Maestría,3.0,6.0,0.0,1.0
11,Postdoctorado,0.0,1.0,0.0,0.0
