,education,Medianamente importante,Muy importante,Nada importante,No sé,Poco importante
0,Doctorado,5.0,27.0,1.0,1.0,1.0
1,Especialización,0.0,6.0,0.0,3.0,0.0
2,Especialización;Maestría,0.0,1.0,0.0,0.0,0.0
3,Estudiante de Doctorado,0.0,1.0,0.0,0.0,0.0
4,Estudiante de licenciatura,4.0,5.0,0.0,0.0,1.0
5,Licenciado,4.0,15.0,0.0,1.0,0.0
6,Licenciado;Doctorado en curso,1.0,0.0,0.0,0.0,0.0
7,Licenciado;En proceso de tesis de maestría,0.0,1.0,0.0,0.0,0.0
8,Licenciado;Especialización;Maestría,0.0,3.0,0.0,0.0,0.0
9,Licenciado;estudiante de doctorado,0.0,1.0,0.0,0.0,0.0
10,Maestría,2.0,7.0,0.0,0.0,2.0
11,Postdoctorado,1.0,0.0,0.0,0.0,0.0
